pricedSecurityName,PartitionKey,AsOfDate,FxHedgingPercent,EnrichmentStatus,InputModel,OutputModel,EnrichmentInputId,EnrichmentInputIdType,EnrichmentMessages,RMG_SecurityIsProxied,SecurityUpdateTimestamp,EnrichedRML,IsFxModel
ccy://RMG/BOCAU2,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCAU2""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/BOCNTD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCNTD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/XUSUSD,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XUSUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XUSUSD"" is backfilled or forward filled; earliest time series observation date is 20200918; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>XUSUSD</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/XUSUSD</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/BOCSIT,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCSIT""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/DKK_SL,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DKK_SL""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCPYG,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCPYG""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/CAD2,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CAD2""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/XSAUSD,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XSAUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XSAUSD"" is backfilled or forward filled; earliest time series observation date is 20200410; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>XSAUSD</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/XSAUSD</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/PGK_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PGK_TCXF""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/INR9,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/INR9"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""INR9"" is backfilled or forward filled; earliest time series observation date is 20180530; latest time series observation date is 20180531; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>INR9</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/INR9</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/ZMK_SL,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ZMK_SL""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/GBP5,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBP5""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/EOS1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EOS1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCBA1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCBA1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/UF1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UF1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCTW1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCTW1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/QR_CNY,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""QR_CNY""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCMKD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCMKD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/WST,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>WST</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/WST</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/UAH_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UAH_TCXF""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/AK6,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK6""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/EGP2,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EGP2""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/UDIUSD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UDIUSD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/COPT,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""COPT""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/JPYC,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""JPYC""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCCAD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCCAD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/MRU,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>MRU</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/MRU</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/DEM,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>DEM</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/DEM</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/BOCYER,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCYER""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCEGP,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCEGP""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/MMK3,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MMK3""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/ADXY,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ADXY""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/PLN_LCH,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PLN_LCH""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/SEK5,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SEK5""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/CNH5,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNH5""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCTND,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCTND""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCID1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCID1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BRL,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>BRL</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/BRL</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/GTQ_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GTQ_TCXF""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BCC_PLN1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_PLN1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BZD,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>BZD</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/BZD</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/AUAN1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUAN1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/EURUSD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EURUSD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/NZDT,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NZDT""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BOCEUB,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCEUB""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BCC_MUR1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_MUR1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/BCC_CNY1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_CNY1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/XLM1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XLM1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/NPR_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NPR_TCXF""",false,2024-11-20T10:55:10.539884,N/A,false
(102457:2583)-328,16,2024-09-02,NaN,Error,equityModel,equityModel,N/A,N/A,"Unknown equity time series named ""845467109""",false,2024-11-20T10:55:23.209277,N/A,false
ccy://RMG/CNY_TCXF,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNY_TCXF""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/CAD,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>CAD</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/CAD</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/AK19,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK19""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/EGP,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>EGP</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/EGP</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/BCC_KWD1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_KWD1""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/BOCPLD,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCPLD""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/AK37,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK37""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/QR_AUD,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""QR_AUD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/SPXCO1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SPXCO1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/AU2,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AU2""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/EGP_TCXF,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EGP_TCXF""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/XS1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XS1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/THB_SL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""THB_SL""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/IDR5,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""IDR5""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/ETH3,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ETH3""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/HKD3,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HKD3""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/DCR1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DCR1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/PKR1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PKR1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/MKD,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>MKD</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/MKD</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/NOKT,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NOKT""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/ARS,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>ARS</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/ARS</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/FXAUD,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""FXAUD""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/TND,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>TND</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/TND</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/THBT,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""THBT""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/LBP_SL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""LBP_SL""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/GBPKT,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBPKT""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/LTC1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""LTC1""",false,2024-11-20T10:55:10.539884,N/A,false
ccy://RMG/YER,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>YER</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/YER</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/BOCBRL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCBRL""",false,2024-11-20T10:55:10.539884,N/A,false
