SecurityName,Valspec,AsOfDate,ResultType,ResultValuesSum,ResultValuesPassthrough
ccy://RMG/GNF,1Y VS,2024-09-02,STANDARD,1.15874855E-4;1.0;1.15874855E-4,
ccy://RMG/BEF,1Y VS,2024-09-02,STANDARD,0.027440573045;1.0;0.027440573045,
(102457:2583)-314,1Y VS,2024-09-02,STANDARD,24.14;24.14;24.14,
ccy://RMG/LBP,1Y VS,2024-09-02,STANDARD,1.1166946E-5;1.0;1.1166946E-5,
ccy://RMG/HUF,1Y VS,2024-09-02,STANDARD,0.002822051852;1.0;0.002822051852,
ccy://RMG/USCUSD,1Y VS,2024-09-02,STANDARD,0.99995;1.0;0.99995,
ccy://RMG/INR,1Y VS,2024-09-02,STANDARD,0.011915223187;1.0;0.011915223187,
ccy://RMG/LAK,1Y VS,2024-09-02,STANDARD,4.5225335E-5;1.0;4.5225335E-5,
ccy://RMG/XAF,1Y VS,2024-09-02,STANDARD,0.00168716573;1.0;0.00168716573,
ccy://RMG/INR9,1Y VS,2024-09-02,STANDARD,0.014822526;1.0;0.014822526,
ccy://RMG/AUD,1Y VS,2024-09-02,STANDARD,0.6792;1.0;0.6792,
ccy://RMG/CNY7,1Y VS,2024-09-02,STANDARD,0.162480096;1.0;0.162480096,
ccy://RMG/PTE,1Y VS,2024-09-02,STANDARD,0.005521443597000001;1.0;0.005521443597000001,
ccy://RMG/XDR,1Y VS,2024-09-02,STANDARD,1.344176355938;1.0;1.344176355938,
ccy://RMG/AMD,1Y VS,2024-09-02,STANDARD,0.002580445385;1.0;0.002580445385,
ccy://RMG/XFWUSD,1Y VS,2024-09-02,STANDARD,1.13625;1.0;1.13625,
(102457:2583)-303,1Y VS,2024-09-02,STANDARD,4.28;4.28;4.28,
ccy://RMG/SIT,1Y VS,2024-09-02,STANDARD,0.004619220345;1.0;0.004619220345,
ccy://RMG/MWK,1Y VS,2024-09-02,STANDARD,5.766979430000001E-4;1.0;5.766979430000001E-4,
ccy://RMG/BAM,1Y VS,2024-09-02,STANDARD,0.5659790021790001;1.0;0.5659790021790001,
ccy://RMG/TETUSD,1Y VS,2024-09-02,STANDARD,0.9991525;1.0;0.9991525,
ccy://RMG/BND,1Y VS,2024-09-02,STANDARD,0.765110941086;1.0;0.765110941086,
ccy://RMG/MZN,1Y VS,2024-09-02,STANDARD,0.015653126712;1.0;0.015653126712,
ccy://RMG/SLL,1Y VS,2024-09-02,STANDARD,7.2029088E-5;1.0;7.2029088E-5,
ccy://RMG/GBP,1Y VS,2024-09-02,STANDARD,1.31525;1.0;1.31525,
ccy://RMG/XAUSHA95,1Y VS,2024-09-02,STANDARD,80.15919334538101;1.0;80.15919334538101,
ccy://RMG/XLKUSD,1Y VS,2024-09-02,STANDARD,6.858705;1.0;6.858705,
ccy://RMG/SRMUSD,1Y VS,2024-09-02,STANDARD,0.2955;1.0;0.2955,
ccy://RMG/BWP,1Y VS,2024-09-02,STANDARD,0.07490000000000001;1.0;0.07490000000000001,
(102457:2583)-326,1Y VS,2024-09-02,STANDARD,42.44;42.44;42.44,
ccy://RMG/YER,1Y VS,2024-09-02,STANDARD,0.003996962309000001;1.0;0.003996962309000001,
ccy://RMG/CRC,1Y VS,2024-09-02,STANDARD,0.001926336878;1.0;0.001926336878,
ccy://RMG/XSSUSD,1Y VS,2024-09-02,STANDARD,1.76465;1.0;1.76465,
(102457:2583)-329,1Y VS,2024-09-02,STANDARD,9.8;9.8;9.8,
ccy://RMG/BSD,1Y VS,2024-09-02,STANDARD,1.0;1.0;1.0,
(102457:2583)-280,1Y VS,2024-09-02,STANDARD,26.89;26.89;26.89,
ccy://RMG/CLF,1Y VS,2024-09-02,STANDARD,41.293145944639;1.0;41.293145944639,
ccy://RMG/GMD,1Y VS,2024-09-02,STANDARD,0.014409221902;1.0;0.014409221902,
ccy://RMG/FKC1,1Y VS,2024-09-02,STANDARD,100.11;1.0;100.11,
ccy://RMG/PKR,1Y VS,2024-09-02,STANDARD,0.003589053387;1.0;0.003589053387,
(102457:2583)-308,1Y VS,2024-09-02,STANDARD,60.13;60.13;60.13,
ccy://RMG/TOP,1Y VS,2024-09-02,STANDARD,0.4266;1.0;0.4266,
ccy://RMG/MVR,1Y VS,2024-09-02,STANDARD,0.064935064935;1.0;0.064935064935,
ccy://RMG/BZD,1Y VS,2024-09-02,STANDARD,0.5;1.0;0.5,
ccy://RMG/LKR,1Y VS,2024-09-02,STANDARD,0.003345040977;1.0;0.003345040977,
ccy://RMG/IEP,1Y VS,2024-09-02,STANDARD,1.40553660161;1.0;1.40553660161,
ccy://RMG/PLN,1Y VS,2024-09-02,STANDARD,0.259299114494;1.0;0.259299114494,
(102457:2583)-330,1Y VS,2024-09-02,STANDARD,3.08;3.08;3.08,
ccy://RMG/KGS,1Y VS,2024-09-02,STANDARD,0.011802111634;1.0;0.011802111634,
ccy://RMG/OB1USD,1Y VS,2024-09-02,STANDARD,32638.31;1.0;32638.31,
ccy://RMG/PEN,1Y VS,2024-09-02,STANDARD,0.266276128345;1.0;0.266276128345,
ccy://RMG/MXV,1Y VS,2024-09-02,STANDARD,0.416944629753;1.0;0.416944629753,
ccy://RMG/AED,1Y VS,2024-09-02,STANDARD,0.272264423208;1.0;0.272264423208,
ccy://RMG/CYP,1Y VS,2024-09-02,STANDARD,1.891252955083;1.0;1.891252955083,
ccy://RMG/SZL,1Y VS,2024-09-02,STANDARD,0.05597913098000001;1.0;0.05597913098000001,
ccy://RMG/AUD8,1Y VS,2024-09-02,STANDARD,1.016;1.0;1.016,
ccy://RMG/MMK,1Y VS,2024-09-02,STANDARD,4.76190476E-4;1.0;4.76190476E-4,
ccy://RMG/XAG,1Y VS,2024-09-02,STANDARD,28.52;1.0;28.52,
ccy://RMG/HNL,1Y VS,2024-09-02,STANDARD,0.040379567939;1.0;0.040379567939,
ccy://RMG/HXRUSD,1Y VS,2024-09-02,STANDARD,0.0569061;1.0;0.0569061,
ccy://RMG/VUV,1Y VS,2024-09-02,STANDARD,0.008417508418000002;1.0;0.008417508418000002,
ccy://RMG/PHP,1Y VS,2024-09-02,STANDARD,0.017736786094;1.0;0.017736786094,
ccy://RMG/NPR,1Y VS,2024-09-02,STANDARD,0.007447014492000001;1.0;0.007447014492000001,
ccy://RMG/KES,1Y VS,2024-09-02,STANDARD,0.007766990291000001;1.0;0.007766990291000001,
ccy://RMG/AWG,1Y VS,2024-09-02,STANDARD,0.558659217877;1.0;0.558659217877,
ccy://RMG/JPY8,1Y VS,2024-09-02,STANDARD,0.012841916;1.0;0.012841916,
ccy://RMG/JPZ1,1Y VS,2024-09-02,STANDARD,0.00807237;1.0;0.00807237,
ccy://RMG/YFIUSD,1Y VS,2024-09-02,STANDARD,6128.7675;1.0;6128.7675,
ccy://RMG/XMAUSD,1Y VS,2024-09-02,STANDARD,661.7675;1.0;661.7675,
(102457:2583)-282,1Y VS,2024-09-02,STANDARD,17.5;17.5;17.5,
ccy://RMG/TWD8,1Y VS,2024-09-02,STANDARD,0.033260161;1.0;0.033260161,
ccy://RMG/LSL,1Y VS,2024-09-02,STANDARD,0.05597913098000001;1.0;0.05597913098000001,
(102457:2583)-317,1Y VS,2024-09-02,STANDARD,28.99;28.99;28.99,
ccy://RMG/IDR,1Y VS,2024-09-02,STANDARD,6.4412238E-5;1.0;6.4412238E-5,
(102457:2583)-298,1Y VS,2024-09-02,STANDARD,44.05;44.05;44.05,
ccy://RMG/XPD,1Y VS,2024-09-02,STANDARD,981.25;1.0;981.25,
ccy://RMG/MTL,1Y VS,2024-09-02,STANDARD,2.578316359417;1.0;2.578316359417,
(102457:2583)-306,1Y VS,2024-09-02,STANDARD,32.78;32.78;32.78,
ccy://RMG/UZS,1Y VS,2024-09-02,STANDARD,7.9207858E-5;1.0;7.9207858E-5,
ccy://RMG/GHS,1Y VS,2024-09-02,STANDARD,0.063979526552;1.0;0.063979526552,
ccy://RMG/ECS,1Y VS,2024-09-02,STANDARD,4.0E-5;1.0;4.0E-5,
ccy://RMG/NZD8,1Y VS,2024-09-02,STANDARD,0.7821;1.0;0.7821,
(102457:2583)-301,1Y VS,2024-09-02,STANDARD,21.81;21.81;21.81,
ccy://RMG/DOP,1Y VS,2024-09-02,STANDARD,0.016758840288;1.0;0.016758840288,
ccy://RMG/CNH7,1Y VS,2024-09-02,STANDARD,0.162524988;1.0;0.162524988,
ccy://RMG/OMR,1Y VS,2024-09-02,STANDARD,2.597402597403;1.0;2.597402597403,
(102457:2583)-293,1Y VS,2024-09-02,STANDARD,72.18;72.18;72.18,
ccy://RMG/EEK,1Y VS,2024-09-02,STANDARD,0.070746874757;1.0;0.070746874757,
ccy://RMG/DXY,1Y VS,2024-09-02,STANDARD,0.009837387977;1.0;0.009837387977,
ccy://RMG/XSAUSD,1Y VS,2024-09-02,STANDARD,14.4411667;1.0;14.4411667,
ccy://RMG/QAR,1Y VS,2024-09-02,STANDARD,0.274649821478;1.0;0.274649821478,
ccy://RMG/PGK,1Y VS,2024-09-02,STANDARD,0.256650454913;1.0;0.256650454913,
ccy://RMG/MOP,1Y VS,2024-09-02,STANDARD,0.12452137098;1.0;0.12452137098,
ccy://RMG/EGP,1Y VS,2024-09-02,STANDARD,0.020601565719;1.0;0.020601565719,
ccy://RMG/VND,1Y VS,2024-09-02,STANDARD,4.0208279E-5;1.0;4.0208279E-5,
ccy://RMG/ESP,1Y VS,2024-09-02,STANDARD,0.006652903489;1.0;0.006652903489,
ccy://RMG/UAH,1Y VS,2024-09-02,STANDARD,0.024268899405;1.0;0.024268899405,
ccy://RMG/NGN,1Y VS,2024-09-02,STANDARD,6.230529600000001E-4;1.0;6.230529600000001E-4,
ccy://RMG/ATOUSD,1Y VS,2024-09-02,STANDARD,10.0585;1.0;10.0585,
ccy://RMG/SKK,1Y VS,2024-09-02,STANDARD,0.036744037361;1.0;0.036744037361,
ccy://RMG/BTN,1Y VS,2024-09-02,STANDARD,0.011915223187;1.0;0.011915223187,
ccy://RMG/TW7,1Y VS,2024-09-02,STANDARD,1.0;1.0;1.0,
ccy://RMG/MXNF,1Y VS,2024-09-02,STANDARD,0.360663153;1.0;0.360663153,
ccy://RMG/ARS,1Y VS,2024-09-02,STANDARD,0.001051255375;1.0;0.001051255375,
ccy://RMG/GBPL,1Y VS,2024-09-02,STANDARD,1.53683;1.0;1.53683,
ccy://RMG/CNY8,1Y VS,2024-09-02,STANDARD,0.157701345;1.0;0.157701345,
ccy://RMG/XAU,1Y VS,2024-09-02,STANDARD,2499.545;1.0;2499.545,
(102457:2583)-296,1Y VS,2024-09-02,STANDARD,14.99;14.99;14.99,
ccy://RMG/GEL,1Y VS,2024-09-02,STANDARD,0.372023809524;1.0;0.372023809524,
(102457:2583)-327,1Y VS,2024-09-02,STANDARD,29.48;29.48;29.48,
ccy://RMG/XCD,1Y VS,2024-09-02,STANDARD,0.37037037037;1.0;0.37037037037,
(102457:2583)-307,1Y VS,2024-09-02,STANDARD,3.46;3.46;3.46,
ccy://RMG/MXN,1Y VS,2024-09-02,STANDARD,0.05054206363200001;1.0;0.05054206363200001,
ccy://RMG/ATS,1Y VS,2024-09-02,STANDARD,0.080445193782;1.0;0.080445193782,
ccy://RMG/MUR,1Y VS,2024-09-02,STANDARD,0.021516944594;1.0;0.021516944594,
(102457:2583)-318,1Y VS,2024-09-02,STANDARD,33.7;33.7;33.7,
ccy://RMG/LTL,1Y VS,2024-09-02,STANDARD,0.320595024365;1.0;0.320595024365,
(102457:2583)-302,1Y VS,2024-09-02,STANDARD,61.19;61.19;61.19,
(102457:2583)-316,1Y VS,2024-09-02,STANDARD,125.99;125.99;125.99,
ccy://RMG/LNAUSD,1Y VS,2024-09-02,STANDARD,1.617E-4;1.0;1.617E-4,
ccy://RMG/CNY.BH,1Y VS,2024-09-02,STANDARD,0.14028;1.0;0.14028,
ccy://RMG/PAB,1Y VS,2024-09-02,STANDARD,1.0;1.0;1.0,
ccy://RMG/NAD,1Y VS,2024-09-02,STANDARD,0.05597913098000001;1.0;0.05597913098000001,
ccy://RMG/FIM,1Y VS,2024-09-02,STANDARD,0.186175618934;1.0;0.186175618934,
ccy://RMG/JPY,1Y VS,2024-09-02,STANDARD,0.006804109682000001;1.0;0.006804109682000001,
ccy://RMG/ZAR,1Y VS,2024-09-02,STANDARD,0.05597913098000001;1.0;0.05597913098000001,
(102457:2583)-324,1Y VS,2024-09-02,STANDARD,96.0;96.0;96.0,
ccy://RMG/RUB,1Y VS,2024-09-02,STANDARD,0.011145165784;1.0;0.011145165784,
(102457:2583)-289,1Y VS,2024-09-02,STANDARD,117.35;117.35;117.35,
ccy://RMG/EUR9,1Y VS,2024-09-02,STANDARD,1.1686;1.0;1.1686,
ccy://RMG/GYD,1Y VS,2024-09-02,STANDARD,0.004807923458;1.0;0.004807923458,
ccy://RMG/FJD,1Y VS,2024-09-02,STANDARD,0.448370174416;1.0;0.448370174416,
ccy://RMG/PTX,1Y VS,2024-09-02,STANDARD,0.177841010137;1.0;0.177841010137,
(102457:2583)-309,1Y VS,2024-09-02,STANDARD,18.87;18.87;18.87,
ccy://RMG/TRY,1Y VS,2024-09-02,STANDARD,0.029479176647;1.0;0.029479176647,
ccy://RMG/SRD,1Y VS,2024-09-02,STANDARD,0.034434075962;1.0;0.034434075962,
ccy://RMG/JOD,1Y VS,2024-09-02,STANDARD,1.410437235543;1.0;1.410437235543,
ccy://RMG/HKD8,1Y VS,2024-09-02,STANDARD,0.128650457;1.0;0.128650457,
ccy://RMG/LRD,1Y VS,2024-09-02,STANDARD,0.005154639175000001;1.0;0.005154639175000001,
ccy://RMG/XBTUSD,1Y VS,2024-09-02,STANDARD,16548.74;1.0;16548.74,
ccy://RMG/CUP,1Y VS,2024-09-02,STANDARD,0.041666666667;1.0;0.041666666667,
ccy://RMG/CZK,1Y VS,2024-09-02,STANDARD,0.044216972685;1.0;0.044216972685,
ccy://RMG/BIF,1Y VS,2024-09-02,STANDARD,3.45841259E-4;1.0;3.45841259E-4,
ccy://RMG/NIO,1Y VS,2024-09-02,STANDARD,0.027304276123;1.0;0.027304276123,
ccy://RMG/XARUSD,1Y VS,2024-09-02,STANDARD,9.1513389;1.0;9.1513389,
ccy://RMG/RWF,1Y VS,2024-09-02,STANDARD,7.49344324E-4;1.0;7.49344324E-4,
ccy://RMG/CHF,1Y VS,2024-09-02,STANDARD,1.17501909406;1.0;1.17501909406,
ccy://RMG/ZWL,1Y VS,2024-09-02,STANDARD,0.070936827209;1.0;0.070936827209,
ccy://RMG/CNM,1Y VS,2024-09-02,STANDARD,0.140791529982;1.0;0.140791529982,
(102457:2583)-304,1Y VS,2024-09-02,STANDARD,34.76;34.76;34.76,
ccy://RMG/MNT,1Y VS,2024-09-02,STANDARD,2.95551943E-4;1.0;2.95551943E-4,
(102457:2583)-291,1Y VS,2024-09-02,STANDARD,6.13;6.13;6.13,
ccy://RMG/CNY,1Y VS,2024-09-02,STANDARD,0.140630163764;1.0;0.140630163764,
ccy://RMG/SEK,1Y VS,2024-09-02,STANDARD,0.097520064753;1.0;0.097520064753,
ccy://RMG/VES,1Y VS,2024-09-02,STANDARD,0.027337268077;1.0;0.027337268077,
ccy://RMG/KHR,1Y VS,2024-09-02,STANDARD,2.46974562E-4;1.0;2.46974562E-4,
ccy://RMG/CN1,1Y VS,2024-09-02,STANDARD,0.1405116;1.0;0.1405116,
ccy://RMG/KZT,1Y VS,2024-09-02,STANDARD,0.002072474431;1.0;0.002072474431,
(102457:2583)-332,1Y VS,2024-09-02,STANDARD,64.68;64.68;64.68,
ccy://RMG/IDR.BH,1Y VS,2024-09-02,STANDARD,6.177E-5;1.0;6.177E-5,
ccy://RMG/XAUSHA,1Y VS,2024-09-02,STANDARD,80.25763446001501;1.0;80.25763446001501,
ccy://RMG/WST,1Y VS,2024-09-02,STANDARD,0.3684;1.0;0.3684,
ccy://RMG/GBP8,1Y VS,2024-09-02,STANDARD,1.5928;1.0;1.5928,
ccy://RMG/BRL5,1Y VS,2024-09-02,STANDARD,0.402414486922;1.0;0.402414486922,
ccy://RMG/ALL,1Y VS,2024-09-02,STANDARD,0.011093238671;1.0;0.011093238671,
(102457:2583)-310,1Y VS,2024-09-02,STANDARD,16.42;16.42;16.42,
ccy://RMG/DZD,1Y VS,2024-09-02,STANDARD,0.007475338857;1.0;0.007475338857,
(102457:2583)-300,1Y VS,2024-09-02,STANDARD,88.83;88.83;88.83,
ccy://RMG/COU,1Y VS,2024-09-02,STANDARD,0.09;1.0;0.09,
ccy://RMG/TJS,1Y VS,2024-09-02,STANDARD,0.093720712277;1.0;0.093720712277,
(102457:2583)-311,1Y VS,2024-09-02,STANDARD,63.99;63.99;63.99,
ccy://RMG/SVC,1Y VS,2024-09-02,STANDARD,0.114285714286;1.0;0.114285714286,
ccy://RMG/MRU,1Y VS,2024-09-02,STANDARD,0.025252525253;1.0;0.025252525253,
ccy://RMG/XOF,1Y VS,2024-09-02,STANDARD,0.001687534436;1.0;0.001687534436,
ccy://RMG/XUSUSD,1Y VS,2024-09-02,STANDARD,5.435;1.0;5.435,
ccy://RMG/UGX,1Y VS,2024-09-02,STANDARD,2.68600591E-4;1.0;2.68600591E-4,
ccy://RMG/JMD,1Y VS,2024-09-02,STANDARD,0.006347795728;1.0;0.006347795728,
ccy://RMG/ZWG,1Y VS,2024-09-02,STANDARD,0.07214851049399999;1.0;0.07214851049399999,
ccy://RMG/HTG,1Y VS,2024-09-02,STANDARD,0.007606679882;1.0;0.007606679882,
ccy://RMG/ISK,1Y VS,2024-09-02,STANDARD,0.007220737959000001;1.0;0.007220737959000001,
ccy://RMG/XSIUSD,1Y VS,2024-09-02,STANDARD,1.192;1.0;1.192,
ccy://RMG/TZS,1Y VS,2024-09-02,STANDARD,3.68324125E-4;1.0;3.68324125E-4,
ccy://RMG/EUR,1Y VS,2024-09-02,STANDARD,1.10695;1.0;1.10695,
(102457:2583)-281,1Y VS,2024-09-02,STANDARD,4.81;4.81;4.81,
ccy://RMG/TND,1Y VS,2024-09-02,STANDARD,0.328143201693;1.0;0.328143201693,
ccy://RMG/MYR,1Y VS,2024-09-02,STANDARD,0.229489386116;1.0;0.229489386116,
ccy://RMG/XPF,1Y VS,2024-09-02,STANDARD,0.009276244234;1.0;0.009276244234,
ccy://RMG/SLE,1Y VS,2024-09-02,STANDARD,0.044345898004;1.0;0.044345898004,
(102457:2583)-312,1Y VS,2024-09-02,STANDARD,36.92;36.92;36.92,
ccy://RMG/XWNUSD,1Y VS,2024-09-02,STANDARD,9.8728564;1.0;9.8728564,
(102457:2583)-331,1Y VS,2024-09-02,STANDARD,75.11;75.11;75.11,
ccy://RMG/ANG,1Y VS,2024-09-02,STANDARD,0.558659217877;1.0;0.558659217877,
(102457:2583)-319,1Y VS,2024-09-02,STANDARD,12.97;12.97;12.97,
ccy://RMG/SBD,1Y VS,2024-09-02,STANDARD,0.1192;1.0;0.1192,
ccy://RMG/KWD,1Y VS,2024-09-02,STANDARD,3.272786777941;1.0;3.272786777941,
ccy://RMG/BDT,1Y VS,2024-09-02,STANDARD,0.008368200837;1.0;0.008368200837,
ccy://RMG/UYU,1Y VS,2024-09-02,STANDARD,0.024770869458;1.0;0.024770869458,
(102457:2583)-299,1Y VS,2024-09-02,STANDARD,107.85;107.85;107.85,
ccy://RMG/FRF,1Y VS,2024-09-02,STANDARD,0.168753444776;1.0;0.168753444776,
(102457:2583)-292,1Y VS,2024-09-02,STANDARD,13.75;13.75;13.75,
ccy://RMG/RSD,1Y VS,2024-09-02,STANDARD,0.009459395545;1.0;0.009459395545,
ccy://RMG/SCR,1Y VS,2024-09-02,STANDARD,0.068213987278;1.0;0.068213987278,
ccy://RMG/XPT,1Y VS,2024-09-02,STANDARD,930.8000000000001;1.0;930.8000000000001,
ccy://RMG/NZD,1Y VS,2024-09-02,STANDARD,0.62315;1.0;0.62315,
ccy://RMG/CLP,1Y VS,2024-09-02,STANDARD,0.001093236691;1.0;0.001093236691,
ccy://RMG/PYG,1Y VS,2024-09-02,STANDARD,1.3017401E-4;1.0;1.3017401E-4,
ccy://RMG/USD,1Y VS,2024-09-02,STANDARD,1.0;1.0;1.0,
ccy://RMG/AOA,1Y VS,2024-09-02,STANDARD,0.001078942442;1.0;0.001078942442,
ccy://RMG/ZMW,1Y VS,2024-09-02,STANDARD,0.03816196702;1.0;0.03816196702,
ccy://RMG/NOK,1Y VS,2024-09-02,STANDARD,0.09444565125;1.0;0.09444565125,
(102457:2583)-305,1Y VS,2024-09-02,STANDARD,74.03;74.03;74.03,
ccy://RMG/CAD9,1Y VS,2024-09-02,STANDARD,0.771962328;1.0;0.771962328,
(102457:2583)-321,1Y VS,2024-09-02,STANDARD,16.49;16.49;16.49,
ccy://RMG/ETB,1Y VS,2024-09-02,STANDARD,0.009003331233000001;1.0;0.009003331233000001,
ccy://RMG/COP,1Y VS,2024-09-02,STANDARD,2.4032309E-4;1.0;2.4032309E-4,
ccy://RMG/DEM,1Y VS,2024-09-02,STANDARD,0.5659745478900001;1.0;0.5659745478900001,
ccy://RMG/KYD,1Y VS,2024-09-02,STANDARD,1.219512195122;1.0;1.219512195122,
ccy://RMG/XAAUSD,1Y VS,2024-09-02,STANDARD,58.52487499999999;1.0;58.52487499999999,
ccy://RMG/BGN,1Y VS,2024-09-02,STANDARD,0.565642853103;1.0;0.565642853103,
(102457:2583)-313,1Y VS,2024-09-02,STANDARD,26.11;26.11;26.11,
ccy://RMG/SYP,1Y VS,2024-09-02,STANDARD,7.6923077E-5;1.0;7.6923077E-5,
ccy://RMG/XOPUSD,1Y VS,2024-09-02,STANDARD,37.81;1.0;37.81,
ccy://RMG/ITL,1Y VS,2024-09-02,STANDARD,5.71691964E-4;1.0;5.71691964E-4,
ccy://RMG/THO,1Y VS,2024-09-02,STANDARD,0.029218407597;1.0;0.029218407597,
ccy://RMG/BYN,1Y VS,2024-09-02,STANDARD,0.305810397554;1.0;0.305810397554,
ccy://RMG/EUR8,1Y VS,2024-09-02,STANDARD,1.3546;1.0;1.3546,
