Portfolio,HoldingId,HoldingUniqueName,BaseHoldingUniqueName,BaseHoldingId,Amount,IsRelative,IsShortBase,IsBlend,IsFilter,IsShareClassArtificial,IsHoldingGroupByWeightedHolding,BasePortfolio,BenchmarkPortfolio,BenchmarkMethod,BaseBenchmark,FxHedgingPercent,RawFxHedgingPercent,BlendLoadStatus,BlendLoadMessage,LookThroughPortfolio,LookThroughLoadStatus,LookThroughLoadMessage,ProcessDate,HoldingUpdateTimestamp,HoldingSource,Holding Path,Level0,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,FundLevel0,FundLevel1,FundLevel2,FundLevel3,FundLevel4,FundLevel5,FundLevel6,FundLevel7,FundLevel8,FundLevel9,FundLevel10,PartitionKey,AsOfDate
EQ-Oil & Gas exploration Fund,3087028_3087056,"MemberUniqueName{id='3087028_3087056', name='Magnolia Oil Gas Ord Shs Class A'}","MemberUniqueName{id='3087028_3087056', name='Magnolia Oil Gas Ord Shs Class A'}",3087028_3087056,69202.4571,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.354535,Test blend-202112310 - Copy.xml,3087028_3087056,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Magnolia Oil Gas Ord Shs Class A,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,17,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087032,"MemberUniqueName{id='3087028_3087032', name='Antero Resources Ord Shs'}","MemberUniqueName{id='3087028_3087032', name='Antero Resources Ord Shs'}",3087028_3087032,211053.6363,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.370540500,Test blend-202112310 - Copy.xml,3087028_3087032,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Antero Resources Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,17,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087057,"MemberUniqueName{id='3087028_3087057', name='Marathon Oil Ord Shs'}","MemberUniqueName{id='3087028_3087057', name='Marathon Oil Ord Shs'}",3087028_3087057,225442.8471,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.354535,Test blend-202112310 - Copy.xml,3087028_3087057,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Marathon Oil Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,15,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087076,"MemberUniqueName{id='3087028_3087076', name='Talos Energy Ord Shs'}","MemberUniqueName{id='3087028_3087076', name='Talos Energy Ord Shs'}",3087028_3087076,24325.76335,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.336026300,Test blend-202112310 - Copy.xml,3087028_3087076,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Talos Energy Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,15,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087064,"MemberUniqueName{id='3087028_3087064', name='Occidental Petroleum Ord Shs'}","MemberUniqueName{id='3087028_3087064', name='Occidental Petroleum Ord Shs'}",3087028_3087064,108857.5278,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.349030600,Test blend-202112310 - Copy.xml,3087028_3087064,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Occidental Petroleum Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,8,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087040,"MemberUniqueName{id='3087028_3087040', name='Cnx Resources Ord Shs'}","MemberUniqueName{id='3087028_3087040', name='Cnx Resources Ord Shs'}",3087028_3087040,149166.6524,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.366539400,Test blend-202112310 - Copy.xml,3087028_3087040,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Cnx Resources Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,6,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087066,"MemberUniqueName{id='3087028_3087066', name='PBF Energy Ord Shs Class A'}","MemberUniqueName{id='3087028_3087066', name='PBF Energy Ord Shs Class A'}",3087028_3087066,158756.151,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.347032,Test blend-202112310 - Copy.xml,3087028_3087066,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,PBF Energy Ord Shs Class A,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,6,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087047,"MemberUniqueName{id='3087028_3087047', name='EOG Resources Ord Shs'}","MemberUniqueName{id='3087028_3087047', name='EOG Resources Ord Shs'}",3087028_3087047,35934.73768,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.362539800,Test blend-202112310 - Copy.xml,3087028_3087047,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,EOG Resources Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,6,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087034,"MemberUniqueName{id='3087028_3087034', name='CVR Energy Ord Shs'}","MemberUniqueName{id='3087028_3087034', name='CVR Energy Ord Shs'}",3087028_3087034,40651.97678,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.369542,Test blend-202112310 - Copy.xml,3087028_3087034,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,CVR Energy Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,14,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087058,"MemberUniqueName{id='3087028_3087058', name='Marathon Petroleum Ord Shs'}","MemberUniqueName{id='3087028_3087058', name='Marathon Petroleum Ord Shs'}",3087028_3087058,48912.31374,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.353030600,Test blend-202112310 - Copy.xml,3087028_3087058,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Marathon Petroleum Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,14,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087030,"MemberUniqueName{id='3087028_3087030', name='APA Ord Shs'}","MemberUniqueName{id='3087028_3087030', name='APA Ord Shs'}",3087028_3087030,132611.8303,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.371540,Test blend-202112310 - Copy.xml,3087028_3087030,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,APA Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,19,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087054,"MemberUniqueName{id='3087028_3087054', name='Kosmos Energy Ord Shs'}","MemberUniqueName{id='3087028_3087054', name='Kosmos Energy Ord Shs'}",3087028_3087054,338565.1622,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.356539900,Test blend-202112310 - Copy.xml,3087028_3087054,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Kosmos Energy Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,19,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087046,"MemberUniqueName{id='3087028_3087046', name='Diamondback Energy Ord Shs'}","MemberUniqueName{id='3087028_3087046', name='Diamondback Energy Ord Shs'}",3087028_3087046,34832.38283,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.363540800,Test blend-202112310 - Copy.xml,3087028_3087046,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Diamondback Energy Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,19,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087072,"MemberUniqueName{id='3087028_3087072', name='Range Resources Ord Shs'}","MemberUniqueName{id='3087028_3087072', name='Range Resources Ord Shs'}",3087028_3087072,176531.296,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.341030200,Test blend-202112310 - Copy.xml,3087028_3087072,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Range Resources Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,19,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087059,"MemberUniqueName{id='3087028_3087059', name='Matador Resources Ord Shs'}","MemberUniqueName{id='3087028_3087059', name='Matador Resources Ord Shs'}",3087028_3087059,74208.62189,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.352029900,Test blend-202112310 - Copy.xml,3087028_3087059,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Matador Resources Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,13,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087035,"MemberUniqueName{id='3087028_3087035', name='Cabot Oil & Gas Ord Shs'}","MemberUniqueName{id='3087028_3087035', name='Cabot Oil & Gas Ord Shs'}",3087028_3087035,166964.2096,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.368539,Test blend-202112310 - Copy.xml,3087028_3087035,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Cabot Oil & Gas Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,13,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087077,"MemberUniqueName{id='3087028_3087077', name='Tellurian Ord Shs'}","MemberUniqueName{id='3087028_3087077', name='Tellurian Ord Shs'}",3087028_3087077,246091.6703,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.335025900,Test blend-202112310 - Copy.xml,3087028_3087077,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Tellurian Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,13,2024-09-02
