BaseHoldingId,PartitionKey,AsOfDate,HoldingName,PricedSecurityName,ProxySecurityName,Security,Haircut,HostName,LoadingStatus,LoadingMessages,OriginalAmount,clientMarketValue,clientMarketValueCCY,RMG_ProxySecurityName
3087028_3087077,13,2024-09-02,Tellurian Ord Shs,(102457:2583)-330,N/A,(102457:2583)-330,,PBK-IT-WL-GBnUP,SUCCESS,,246091.6703,,N/A,N/A
3087028_3087060,12,2024-09-02,Murphy Oil Ord Shs,(102457:2583)-313,N/A,(102457:2583)-313,,PBK-IT-WL-GBnUP,SUCCESS,,126483.1425,,N/A,N/A
3087028_3087078,12,2024-09-02,Valero Energy Ord Shs,(102457:2583)-331,N/A,(102457:2583)-331,,PBK-IT-WL-GBnUP,SUCCESS,,37803.68139,,N/A,N/A
3087028_3087051,2,2024-09-02,Green Plains Ord Shs,(102457:2583)-304,N/A,(102457:2583)-304,,PBK-IT-WL-GBnUP,SUCCESS,,50016.84857,,N/A,N/A
3087028_3087069,2,2024-09-02,Phillips 66 Ord Shs,(102457:2583)-322,N/A,(102457:2583)-322,,PBK-IT-WL-GBnUP,SUCCESS,,33766.61275,,N/A,N/A
3087028_3087043,2,2024-09-02,Delek US Holdings Ord Shs,(102457:2583)-296,N/A,(102457:2583)-296,,PBK-IT-WL-GBnUP,SUCCESS,,43899.84032,,N/A,N/A
3087028_3087033,0,2024-09-02,Brigham Minerals Ord Shs Class A,(102457:2583)-284,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,15174.714,,N/A,N/A
3087028_3087037,0,2024-09-02,Centennial Resource Development Ord Shs Class A,(102457:2583)-288,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,311425.8017,,N/A,N/A
3087028_3087075,0,2024-09-02,Southwestern Energy Ord Shs,(102457:2583)-328,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,512933.3432,,N/A,N/A
3087028_3087045,0,2024-09-02,Devon Energy Ord Shs,(102457:2583)-298,N/A,(102457:2583)-298,,PBK-IT-WL-GBnUP,SUCCESS,,102564.643,,N/A,N/A
3087028_3087071,0,2024-09-02,REX American Resources Ord Shs,(102457:2583)-324,N/A,(102457:2583)-324,,PBK-IT-WL-GBnUP,SUCCESS,,1124.306218,,N/A,N/A
3087028_3087042,0,2024-09-02,Continental Resources Ord Shs,(102457:2583)-295,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,83677.99178,,N/A,N/A
3087028_3087036,0,2024-09-02,Callon Petroleum Ord Shs,(102457:2583)-287,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,60404.45347,,N/A,N/A
3087028_3087070,0,2024-09-02,Pioneer Natural Resource Ord Shs,(102457:2583)-323,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,18620.90359,,N/A,N/A
3087028_3087067,0,2024-09-02,PDC Energy Ord Shs,(102457:2583)-320,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,40225.52897,,N/A,N/A
3087028_3087044,0,2024-09-02,Denbury Ord Shs,(102457:2583)-297,N/A,N/A,,PBK-IT-WL-GBnUP,FAILED,Primary security enrichment failed. Market value not specified. Market value not specified.,32559.01282,,N/A,N/A
3087028_3087053,0,2024-09-02,HollyFrontier Ord Shs,(102457:2583)-306,N/A,(102457:2583)-306,,PBK-IT-WL-GBnUP,SUCCESS,,88451.59246,,N/A,N/A
3087028_3087055,18,2024-09-02,Laredo Petroleum Ord Shs,(102457:2583)-308,N/A,(102457:2583)-308,,PBK-IT-WL-GBnUP,SUCCESS,,16019.87618,,N/A,N/A
3087028_3087031,18,2024-09-02,Alto Ingredients Ord Shs,(102457:2583)-281,N/A,(102457:2583)-281,,PBK-IT-WL-GBnUP,SUCCESS,,174211.0948,,N/A,N/A
3087028_3087073,18,2024-09-02,Renewable Energy Ord Shs,(102457:2583)-326,N/A,(102457:2583)-326,,PBK-IT-WL-GBnUP,SUCCESS,,46715.32563,,N/A,N/A
3087028_3087061,11,2024-09-02,New Fortress Energy Ord Shs Class A,(102457:2583)-314,N/A,(102457:2583)-314,,PBK-IT-WL-GBnUP,SUCCESS,,29959.26448,,N/A,N/A
3087028_3087079,11,2024-09-02,Whiting Petroleum Ord Shs,(102457:2583)-332,N/A,(102457:2583)-332,,PBK-IT-WL-GBnUP,SUCCESS,,28970.47521,,N/A,N/A
3087028_3087052,1,2024-09-02,Hess Ord Shs,(102457:2583)-305,N/A,(102457:2583)-305,,PBK-IT-WL-GBnUP,SUCCESS,,33972.76717,,N/A,N/A
3087028_3087049,4,2024-09-02,Exxon Mobil Ord Shs,(102457:2583)-302,N/A,(102457:2583)-302,,PBK-IT-WL-GBnUP,SUCCESS,,49588.43495,,N/A,N/A
3087028_3087050,3,2024-09-02,Gevo Ord Shs,(102457:2583)-303,N/A,(102457:2583)-303,,PBK-IT-WL-GBnUP,SUCCESS,,396642.1786,,N/A,N/A
3087028_3087068,3,2024-09-02,Par Pacific Holdings Ord Shs,(102457:2583)-321,N/A,(102457:2583)-321,,PBK-IT-WL-GBnUP,SUCCESS,,21430.8238,,N/A,N/A
