pricedSecurityName,delta,gamma,currency,equityDomicileCcy,allFxCcy,positionType,calibratedModelType
ccy://RMG/XAF,na,na,XAF,N/A,XAF,Cash,Cash
ccy://RMG/XAG,na,na,XAG,N/A,XAG,Cash,Cash
ccy://RMG/SZL,na,na,SZL,N/A,SZL,Cash,Cash
ccy://RMG/KZT,na,na,KZT,N/A,KZT,Cash,Cash
ccy://RMG/YER,na,na,YER,N/A,YER,Cash,Cash
ccy://RMG/AWG,na,na,AWG,N/A,AWG,Cash,Cash
ccy://RMG/NPR,na,na,NPR,N/A,NPR,Cash,Cash
ccy://RMG/MNT,na,na,MNT,N/A,MNT,Cash,Cash
ccy://RMG/XSIUSD,na,na,XSIUSD,N/A,XSIUSD,Cash,Cash
ccy://RMG/HUF,na,na,HUF,N/A,HUF,Cash,Cash
ccy://RMG/GBP,na,na,GBP,N/A,GBP,Cash,Cash
ccy://RMG/NIKKEI,na,na,NIKKEI,N/A,NIKKEI,Cash,Cash
ccy://RMG/PTX,na,na,PTX,N/A,PTX,Cash,Cash
ccy://RMG/BYN,na,na,BYN,N/A,BYN,Cash,Cash
ccy://RMG/HXRUSD,na,na,HXRUSD,N/A,HXRUSD,Cash,Cash
ccy://RMG/BIF,na,na,BIF,N/A,BIF,Cash,Cash
ccy://RMG/BGN,na,na,BGN,N/A,BGN,Cash,Cash
ccy://RMG/MMK,na,na,MMK,N/A,MMK,Cash,Cash
ccy://RMG/SYP,na,na,SYP,N/A,SYP,Cash,Cash
ccy://RMG/ZWG,na,na,ZWG,N/A,ZWG,Cash,Cash
ccy://RMG/NOK,na,na,NOK,N/A,NOK,Cash,Cash
ccy://RMG/DKK,na,na,DKK,N/A,DKK,Cash,Cash
ccy://RMG/LKR,na,na,LKR,N/A,LKR,Cash,Cash
ccy://RMG/ZWL,na,na,ZWL,N/A,ZWL,Cash,Cash
ccy://RMG/XCD,na,na,XCD,N/A,XCD,Cash,Cash
ccy://RMG/GRD,na,na,GRD,N/A,GRD,Cash,Cash
ccy://RMG/HTG,na,na,HTG,N/A,HTG,Cash,Cash
ccy://RMG/IEP,na,na,IEP,N/A,IEP,Cash,Cash
ccy://RMG/CZK,na,na,CZK,N/A,CZK,Cash,Cash
ccy://RMG/PTE,na,na,PTE,N/A,PTE,Cash,Cash
ccy://RMG/CNH7,na,na,CNH7,N/A,CNH7,Cash,Cash
ccy://RMG/YFIUSD,na,na,YFIUSD,N/A,YFIUSD,Cash,Cash
ccy://RMG/SIT,na,na,SIT,N/A,SIT,Cash,Cash
ccy://RMG/BHD,na,na,BHD,N/A,BHD,Cash,Cash
ccy://RMG/MXNF,na,na,MXNF,N/A,MXNF,Cash,Cash
ccy://RMG/TND,na,na,TND,N/A,TND,Cash,Cash
ccy://RMG/GTQ,na,na,GTQ,N/A,GTQ,Cash,Cash
ccy://RMG/CLP,na,na,CLP,N/A,CLP,Cash,Cash
ccy://RMG/SLL,na,na,SLL,N/A,SLL,Cash,Cash
ccy://RMG/CNY8,na,na,CNY8,N/A,CNY8,Cash,Cash
ccy://RMG/SLE,na,na,SLE,N/A,SLE,Cash,Cash
ccy://RMG/CNY7,na,na,CNY7,N/A,CNY7,Cash,Cash
ccy://RMG/HKD8,na,na,HKD8,N/A,HKD8,Cash,Cash
ccy://RMG/XDR,na,na,XDR,N/A,XDR,Cash,Cash
ccy://RMG/NAD,na,na,NAD,N/A,NAD,Cash,Cash
ccy://RMG/OE1USD,na,na,OE1USD,N/A,OE1USD,Cash,Cash
ccy://RMG/SKK,na,na,SKK,N/A,SKK,Cash,Cash
ccy://RMG/ATOUSD,na,na,ATOUSD,N/A,ATOUSD,Cash,Cash
ccy://RMG/JPY8,na,na,JPY8,N/A,JPY8,Cash,Cash
ccy://RMG/XOUUSD,na,na,XOUUSD,N/A,XOUUSD,Cash,Cash
ccy://RMG/BZD,na,na,BZD,N/A,BZD,Cash,Cash
ccy://RMG/MOP,na,na,MOP,N/A,MOP,Cash,Cash
ccy://RMG/XOPUSD,na,na,XOPUSD,N/A,XOPUSD,Cash,Cash
ccy://RMG/XETUSD,na,na,XETUSD,N/A,XETUSD,Cash,Cash
ccy://RMG/PEN,na,na,PEN,N/A,PEN,Cash,Cash
ccy://RMG/WST,na,na,WST,N/A,WST,Cash,Cash
ccy://RMG/FRF,na,na,FRF,N/A,FRF,Cash,Cash
ccy://RMG/EUR9,na,na,EUR9,N/A,EUR9,Cash,Cash
ccy://RMG/EUR8,na,na,EUR8,N/A,EUR8,Cash,Cash
ccy://RMG/CLF,na,na,CLF,N/A,CLF,Cash,Cash
ccy://RMG/MRU,na,na,MRU,N/A,MRU,Cash,Cash
ccy://RMG/CNY,na,na,CNY,N/A,CNY,Cash,Cash
ccy://RMG/BMD,na,na,BMD,N/A,BMD,Cash,Cash
ccy://RMG/PHP,na,na,PHP,N/A,PHP,Cash,Cash
ccy://RMG/JMD,na,na,JMD,N/A,JMD,Cash,Cash
ccy://RMG/ESP,na,na,ESP,N/A,ESP,Cash,Cash
ccy://RMG/PYG,na,na,PYG,N/A,PYG,Cash,Cash
ccy://RMG/GBP8,na,na,GBP8,N/A,GBP8,Cash,Cash
ccy://RMG/XFWUSD,na,na,XFWUSD,N/A,XFWUSD,Cash,Cash
ccy://RMG/DOP,na,na,DOP,N/A,DOP,Cash,Cash
ccy://RMG/XMAUSD,na,na,XMAUSD,N/A,XMAUSD,Cash,Cash
ccy://RMG/KMF,na,na,KMF,N/A,KMF,Cash,Cash
ccy://RMG/CN1,na,na,CN1,N/A,CN1,Cash,Cash
ccy://RMG/MAD,na,na,MAD,N/A,MAD,Cash,Cash
ccy://RMG/GEL,na,na,GEL,N/A,GEL,Cash,Cash
ccy://RMG/OB1USD,na,na,OB1USD,N/A,OB1USD,Cash,Cash
ccy://RMG/TOP,na,na,TOP,N/A,TOP,Cash,Cash
ccy://RMG/AZN,na,na,AZN,N/A,AZN,Cash,Cash
ccy://RMG/INR9,na,na,INR9,N/A,INR9,Cash,Cash
ccy://RMG/PGK,na,na,PGK,N/A,PGK,Cash,Cash
ccy://RMG/CNM,na,na,CNM,N/A,CNM,Cash,Cash
ccy://RMG/CNH,na,na,CNH,N/A,CNH,Cash,Cash
ccy://RMG/UAH,na,na,UAH,N/A,UAH,Cash,Cash
ccy://RMG/GBPL,na,na,GBPL,N/A,GBPL,Cash,Cash
ccy://RMG/MTL,na,na,MTL,N/A,MTL,Cash,Cash
ccy://RMG/VES,na,na,VES,N/A,VES,Cash,Cash
ccy://RMG/ZMW,na,na,ZMW,N/A,ZMW,Cash,Cash
ccy://RMG/ILS,na,na,ILS,N/A,ILS,Cash,Cash
ccy://RMG/GHS,na,na,GHS,N/A,GHS,Cash,Cash
ccy://RMG/GYD,na,na,GYD,N/A,GYD,Cash,Cash
ccy://RMG/TWD8,na,na,TWD8,N/A,TWD8,Cash,Cash
ccy://RMG/AMD,na,na,AMD,N/A,AMD,Cash,Cash
ccy://RMG/TRY,na,na,TRY,N/A,TRY,Cash,Cash
ccy://RMG/LBP,na,na,LBP,N/A,LBP,Cash,Cash
ccy://RMG/BOB,na,na,BOB,N/A,BOB,Cash,Cash
ccy://RMG/MDL,na,na,MDL,N/A,MDL,Cash,Cash
ccy://RMG/HKD,na,na,HKD,N/A,HKD,Cash,Cash
ccy://RMG/TETUSD,na,na,TETUSD,N/A,TETUSD,Cash,Cash
ccy://RMG/EUR,na,na,EUR,N/A,EUR,Cash,Cash
ccy://RMG/JOD,na,na,JOD,N/A,JOD,Cash,Cash
ccy://RMG/XUSUSD,na,na,XUSUSD,N/A,XUSUSD,Cash,Cash
ccy://RMG/COU,na,na,COU,N/A,COU,Cash,Cash
ccy://RMG/XLKUSD,na,na,XLKUSD,N/A,XLKUSD,Cash,Cash
ccy://RMG/COP,na,na,COP,N/A,COP,Cash,Cash
ccy://RMG/XDTUSD,na,na,XDTUSD,N/A,XDTUSD,Cash,Cash
ccy://RMG/USD,na,na,USD,N/A,USD,Cash,Cash
ccy://RMG/ETB,na,na,ETB,N/A,ETB,Cash,Cash
ccy://RMG/BND,na,na,BND,N/A,BND,Cash,Cash
ccy://RMG/ECS,na,na,ECS,N/A,ECS,Cash,Cash
ccy://RMG/VUV,na,na,VUV,N/A,VUV,Cash,Cash
ccy://RMG/LAK,na,na,LAK,N/A,LAK,Cash,Cash
ccy://RMG/ALL,na,na,ALL,N/A,ALL,Cash,Cash
ccy://RMG/LRD,na,na,LRD,N/A,LRD,Cash,Cash
ccy://RMG/XAAUSD,na,na,XAAUSD,N/A,XAAUSD,Cash,Cash
ccy://RMG/MVR,na,na,MVR,N/A,MVR,Cash,Cash
ccy://RMG/SRD,na,na,SRD,N/A,SRD,Cash,Cash
ccy://RMG/XAUSHA95,na,na,XAUSHA95,N/A,XAUSHA95,Cash,Cash
ccy://RMG/SAR,na,na,SAR,N/A,SAR,Cash,Cash
ccy://RMG/LTL,na,na,LTL,N/A,LTL,Cash,Cash
ccy://RMG/TTD,na,na,TTD,N/A,TTD,Cash,Cash
ccy://RMG/KRW,na,na,KRW,N/A,KRW,Cash,Cash
ccy://RMG/AOA,na,na,AOA,N/A,AOA,Cash,Cash
ccy://RMG/JPY,na,na,JPY,N/A,JPY,Cash,Cash
ccy://RMG/PLN,na,na,PLN,N/A,PLN,Cash,Cash
ccy://RMG/INR,na,na,INR,N/A,INR,Cash,Cash
ccy://RMG/SBD,na,na,SBD,N/A,SBD,Cash,Cash
ccy://RMG/MWK,na,na,MWK,N/A,MWK,Cash,Cash
ccy://RMG/LUF,na,na,LUF,N/A,LUF,Cash,Cash
ccy://RMG/EEK,na,na,EEK,N/A,EEK,Cash,Cash
ccy://RMG/MUR,na,na,MUR,N/A,MUR,Cash,Cash
ccy://RMG/LSL,na,na,LSL,N/A,LSL,Cash,Cash
ccy://RMG/CAD,na,na,CAD,N/A,CAD,Cash,Cash
ccy://RMG/RON,na,na,RON,N/A,RON,Cash,Cash
ccy://RMG/XSAUSD,na,na,XSAUSD,N/A,XSAUSD,Cash,Cash
ccy://RMG/MXV1,na,na,MXV1,N/A,MXV1,Cash,Cash
ccy://RMG/ANG,na,na,ANG,N/A,ANG,Cash,Cash
ccy://RMG/NGN,na,na,NGN,N/A,NGN,Cash,Cash
ccy://RMG/CRC,na,na,CRC,N/A,CRC,Cash,Cash
ccy://RMG/PKR,na,na,PKR,N/A,PKR,Cash,Cash
ccy://RMG/ZAR,na,na,ZAR,N/A,ZAR,Cash,Cash
ccy://RMG/MXV,na,na,MXV,N/A,MXV,Cash,Cash
ccy://RMG/CDF,na,na,CDF,N/A,CDF,Cash,Cash
ccy://RMG/BBD,na,na,BBD,N/A,BBD,Cash,Cash
ccy://RMG/HNL,na,na,HNL,N/A,HNL,Cash,Cash
ccy://RMG/UGX,na,na,UGX,N/A,UGX,Cash,Cash
ccy://RMG/BSD,na,na,BSD,N/A,BSD,Cash,Cash
ccy://RMG/AUD8,na,na,AUD8,N/A,AUD8,Cash,Cash
ccy://RMG/TW7,na,na,TW7,N/A,TW7,Cash,Cash
ccy://RMG/TWD,na,na,TWD,N/A,TWD,Cash,Cash
ccy://RMG/RSD,na,na,RSD,N/A,RSD,Cash,Cash
ccy://RMG/CUP,na,na,CUP,N/A,CUP,Cash,Cash
ccy://RMG/BRL5,na,na,BRL5,N/A,BRL5,Cash,Cash
ccy://RMG/GMD,na,na,GMD,N/A,GMD,Cash,Cash
ccy://RMG/FIM,na,na,FIM,N/A,FIM,Cash,Cash
ccy://RMG/LNAUSD,na,na,LNAUSD,N/A,LNAUSD,Cash,Cash
ccy://RMG/MGA,na,na,MGA,N/A,MGA,Cash,Cash
ccy://RMG/EUZ1,na,na,EUZ1,N/A,EUZ1,Cash,Cash
ccy://RMG/PHAUSD,na,na,PHAUSD,N/A,PHAUSD,Cash,Cash
ccy://RMG/DEM,na,na,DEM,N/A,DEM,Cash,Cash
ccy://RMG/BAM,na,na,BAM,N/A,BAM,Cash,Cash
ccy://RMG/EGP,na,na,EGP,N/A,EGP,Cash,Cash
ccy://RMG/NZD,na,na,NZD,N/A,NZD,Cash,Cash
ccy://RMG/FKC1,na,na,FKC1,N/A,FKC1,Cash,Cash
ccy://RMG/NIO,na,na,NIO,N/A,NIO,Cash,Cash
ccy://RMG/XARUSD,na,na,XARUSD,N/A,XARUSD,Cash,Cash
ccy://RMG/FJD,na,na,FJD,N/A,FJD,Cash,Cash
ccy://RMG/MXN,na,na,MXN,N/A,MXN,Cash,Cash
ccy://RMG/SCR,na,na,SCR,N/A,SCR,Cash,Cash
ccy://RMG/LVL,na,na,LVL,N/A,LVL,Cash,Cash
ccy://RMG/BRL,na,na,BRL,N/A,BRL,Cash,Cash
(102457:2583)-307,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-329,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-306,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-309,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-308,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-303,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-325,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-302,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-324,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-305,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-327,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-304,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-326,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-321,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-301,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-289,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-300,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-322,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-330,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-296,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-291,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-293,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-292,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-318,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-317,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-319,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-314,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-313,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-316,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-315,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-332,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-299,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-310,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-331,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-298,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-334,na,na,USD,N/A,USD,Cash,Cash
(102457:2583)-312,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-333,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-311,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-286,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-285,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-280,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-282,1,na,USD,N/A,USD,Equity,Equity
(102457:2583)-281,1,na,USD,N/A,USD,Equity,Equity
