pricedSecurityName,PartitionKey,AsOfDate,FxHedgingPercent,EnrichmentStatus,InputModel,OutputModel,EnrichmentInputId,EnrichmentInputIdType,EnrichmentMessages,RMG_SecurityIsProxied,SecurityUpdateTimestamp,IsFxModel
ccy://RMG/BOCAU2,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCAU2""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BOCNTD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCNTD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XUSUSD,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XUSUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XUSUSD"" is backfilled or forward filled; earliest time series observation date is 20200918; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCSIT,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCSIT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/DKK_SL,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DKK_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCPYG,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCPYG""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CAD2,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CAD2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XSAUSD,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XSAUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XSAUSD"" is backfilled or forward filled; earliest time series observation date is 20200410; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PGK_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PGK_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/INR9,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/INR9"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""INR9"" is backfilled or forward filled; earliest time series observation date is 20180530; latest time series observation date is 20180531; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ZMK_SL,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ZMK_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/GBP5,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBP5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/EOS1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EOS1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCBA1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCBA1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/UF1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UF1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCTW1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCTW1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/QR_CNY,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""QR_CNY""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCMKD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCMKD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/WST,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/UAH_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UAH_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AK6,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK6""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/EGP2,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EGP2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/UDIUSD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UDIUSD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/COPT,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""COPT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/JPYC,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""JPYC""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCCAD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCCAD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MRU,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/DEM,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCYER,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCYER""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCEGP,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCEGP""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MMK3,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MMK3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ADXY,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ADXY""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PLN_LCH,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PLN_LCH""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SEK5,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SEK5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/CNH5,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNH5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCTND,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCTND""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCID1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCID1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BRL,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/GTQ_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GTQ_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_PLN1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_PLN1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BZD,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/AUAN1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUAN1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/EURUSD,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EURUSD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NZDT,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NZDT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCEUB,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCEUB""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_MUR1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_MUR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_CNY1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_CNY1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XLM1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XLM1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NPR_TCXF,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NPR_TCXF""",false,2024-11-20T10:55:10.539884,false
(102457:2583)-328,16,2024-09-02,NaN,Error,equityModel,equityModel,N/A,N/A,"Unknown equity time series named ""845467109""",false,2024-11-20T10:55:23.209277,false
ccy://RMG/CNY_TCXF,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNY_TCXF""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/CAD,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AK19,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK19""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/EGP,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BCC_KWD1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_KWD1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BOCPLD,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCPLD""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AK37,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK37""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/QR_AUD,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""QR_AUD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SPXCO1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SPXCO1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AU2,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AU2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/EGP_TCXF,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""EGP_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XS1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XS1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/THB_SL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""THB_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/IDR5,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""IDR5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ETH3,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ETH3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HKD3,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HKD3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/DCR1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DCR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PKR1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""PKR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MKD,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/NOKT,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NOKT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ARS,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/FXAUD,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""FXAUD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/TND,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/THBT,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""THBT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/LBP_SL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""LBP_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/GBPKT,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBPKT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/LTC1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""LTC1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/YER,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCBRL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCBRL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XMAUSD,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XMAUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XMAUSD"" is backfilled or forward filled; earliest time series observation date is 20190821; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HNL_TCXF,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HNL_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/ZAR1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""ZAR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/JPY5,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""JPY5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCZMW,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCZMW""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NZD2,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NZD2""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/WCB,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""WCB""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/FIM,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/CNY4,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNY4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/PYG,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/XAC,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XAC""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_SAR1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_SAR1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NOK_SL,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NOK_SL""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_MAD1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_MAD1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XDTUSD,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XDTUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XDTUSD"" is backfilled or forward filled; earliest time series observation date is 20200820; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XAG4,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XAG4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCUSB,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCUSB""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AIO1,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AIO1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SIT,10,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCWST,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCWST""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCKRW,10,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCKRW""",false,2024-11-20T10:55:10.539884,false
(102457:2583)-289,10,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
(102457:2583)-315,10,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
(102457:2583)-333,10,2024-09-02,NaN,Success,equityModel,equityModel,N/A,N/A,,false,2024-11-20T10:55:23.209277,false
ccy://RMG/CHF4,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CHF4""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/FKC1,5,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/FKC1"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""FKC1"" is backfilled or forward filled; earliest time series observation date is 20101105; latest time series observation date is 20101117; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/HKD8,5,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/HKD8"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""HKD8"" is backfilled or forward filled; earliest time series observation date is 20020703; latest time series observation date is 20111109; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/SLL,5,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/SAR3,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SAR3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XARUSD,5,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,"Holding ""ccy://RMG/XARUSD"", has filled time series for valuation spec with statistics start date 20230903, statistics end date 20240902, and pricing date 20240902.  Filled time series descriptions:  Time series ""XARUSD"" is backfilled or forward filled; earliest time series observation date is 20201119; latest time series observation date is 20221124; time series is flat filled; DATA ON THE PRICING DATE HAS BEEN FILLED FOR THIS TIME SERIES.",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BEF,5,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/XA4,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XA4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HBT1,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HBT1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/MYR5,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""MYR5""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/NOK1,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""NOK1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/KWD3,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""KWD3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/UNRUSD,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UNRUSD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BAUA,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BAUA""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/TWD4,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""TWD4""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/THO,5,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.539884,false
ccy://RMG/CNHT,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""CNHT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BCC_BEF1,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BCC_BEF1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/GBP_TCXF,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBP_TCXF""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/THB1,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""THB1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/GBPT,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""GBPT""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HKDUSD,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HKDUSD""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/AK23,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK23""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/XTD3,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""XTD3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/BOCBR3,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCBR3""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/UST1,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""UST1""",false,2024-11-20T10:55:10.539884,false
ccy://RMG/HUFT,5,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""HUFT""",false,2024-11-20T10:55:10.539884,false
